iter	Passed	Remaining
0	146	146314
1	147	73427
2	147	49158
3	148	37070
4	149	29797
5	150	24926
6	151	21504
7	152	18904
8	152	16827
9	153	15168
10	153	13834
11	154	12727
12	155	11777
13	156	10990
14	156	10291
15	157	9675
16	157	9133
17	158	8649
18	159	8221
19	159	7832
20	160	7479
21	161	7159
22	161	6866
23	162	6601
24	162	6355
25	163	6120
26	163	5902
27	165	5731
28	165	5555
29	166	5386
30	167	5227
31	168	5083
32	168	4950
33	169	4819
34	170	4695
35	170	4572
36	171	4457
37	171	4343
38	172	4244
39	172	4146
40	173	4055
41	174	3970
42	174	3887
43	175	3809
44	175	3732
45	176	3656
46	176	3587
47	177	3517
48	178	3458
49	179	3406
50	180	3350
51	180	3289
52	181	3236
53	181	3178
54	182	3132
55	183	3088
56	183	3043
57	184	2997
58	185	2954
59	185	2911
60	186	2869
61	187	2829
62	187	2787
63	188	2749
64	188	2710
65	189	2675
66	189	2638
67	190	2604
68	190	2569
69	191	2539
70	191	2508
71	192	2484
72	193	2458
73	194	2432
74	195	2405
75	195	2380
76	196	2355
77	196	2328
78	197	2306
79	198	2285
80	199	2263
81	200	2240
82	200	2217
83	201	2195
84	201	2171
85	202	2151
86	203	2130
87	203	2107
88	203	2087
89	204	2068
90	205	2047
91	205	2029
92	206	2015
93	207	2000
94	208	1984
95	208	1966
96	209	1950
97	210	1934
98	210	1919
99	211	1906
100	212	1893
101	213	1880
102	213	1863
103	214	1847
104	214	1832
105	215	1818
106	216	1804
107	216	1789
108	217	1776
109	217	1762
110	218	1747
111	218	1733
112	219	1721
113	219	1707
114	220	1694
115	221	1689
116	222	1678
117	223	1667
118	223	1655
119	224	1643
120	224	1634
121	225	1625
122	226	1612
123	226	1602
124	227	1592
125	228	1581
126	228	1571
127	229	1561
128	229	1552
129	230	1542
130	231	1533
131	231	1523
132	232	1514
133	232	1504
134	233	1493
135	233	1484
136	234	1475
137	234	1467
138	235	1460
139	236	1454
140	237	1447
141	238	1439
142	238	1430
143	239	1422
144	239	1414
145	240	1406
146	241	1398
147	241	1390
148	242	1382
149	242	1375
150	243	1367
151	243	1360
152	244	1353
153	245	1346
154	245	1339
155	246	1332
156	246	1325
157	247	1318
158	248	1312
159	248	1305
160	249	1299
161	250	1295
162	251	1291
163	252	1285
164	252	1279
165	253	1273
166	253	1266
167	254	1260
168	255	1254
169	255	1248
170	256	1242
171	256	1236
172	257	1230
173	258	1225
174	258	1219
175	259	1214
176	259	1208
177	260	1203
178	260	1196
179	261	1190
180	261	1185
181	262	1180
182	263	1175
183	263	1170
184	265	1167
185	265	1164
186	266	1159
187	267	1154
188	267	1149
189	268	1144
190	269	1139
191	269	1135
192	270	1129
193	270	1124
194	271	1120
195	271	1115
196	272	1110
197	273	1106
198	273	1101
199	274	1097
200	274	1092
201	275	1088
202	276	1083
203	276	1079
204	277	1075
205	278	1071
206	279	1070
207	280	1067
208	281	1064
209	281	1060
210	282	1057
211	283	1053
212	284	1049
213	284	1045
214	285	1041
215	285	1037
216	286	1033
217	287	1029
218	287	1026
219	288	1022
220	288	1018
221	289	1014
222	290	1010
223	290	1007
224	291	1003
225	291	999
226	292	995
227	293	994
228	294	991
229	295	988
230	295	985
231	296	982
232	297	979
233	298	975
234	298	972
235	299	969
236	300	967
237	301	964
238	302	961
239	302	958
240	303	955
241	303	951
242	304	948
243	305	945
244	305	942
245	306	939
246	307	936
247	308	935
248	309	932
249	310	930
250	310	927
251	311	924
252	311	921
253	312	918
254	313	916
255	314	914
256	315	911
257	315	908
258	316	905
259	317	902
260	317	899
261	318	896
262	318	893
263	319	890
264	320	887
265	320	884
266	321	881
267	322	879
268	323	879
269	324	876
270	325	874
271	325	871
272	326	869
273	327	867
274	328	865
275	328	862
276	329	860
277	330	857
278	330	854
279	331	852
280	331	849
281	332	846
282	333	844
283	333	841
284	334	839
285	335	836
286	335	833
287	336	831
288	338	831
289	338	829
290	339	826
291	340	824
292	340	822
293	341	819
294	342	817
295	342	815
296	343	813
297	344	811
298	344	808
299	345	806
300	346	803
301	346	801
302	347	799
303	348	796
304	348	794
305	349	792
306	349	789
307	350	787
308	351	785
309	352	784
310	353	782
311	353	780
312	354	777
313	355	776
314	356	774
315	356	772
316	357	769
317	357	767
318	358	765
319	359	763
320	359	760
321	360	758
322	360	756
323	361	754
324	362	752
325	362	749
326	363	747
327	363	745
328	364	743
329	365	741
330	366	740
331	368	742
332	369	740
333	370	739
334	371	737
335	372	735
336	373	734
337	373	732
338	374	730
339	375	729
340	376	727
341	377	726
342	378	724
343	378	722
344	379	720
345	380	719
346	381	718
347	382	717
348	383	715
349	384	713
350	384	711
351	385	709
352	386	708
353	387	706
354	387	704
355	388	702
356	389	700
357	389	698
358	390	696
359	390	694
360	391	693
361	392	691
362	392	689
363	393	687
364	393	685
365	394	684
366	395	682
367	396	680
368	397	679
369	397	677
370	398	675
371	398	673
372	399	671
373	400	669
374	400	667
375	401	665
376	401	664
377	402	662
378	403	660
379	403	658
380	404	656
381	404	655
382	405	653
383	406	651
384	406	649
385	407	648
386	407	646
387	408	644
388	409	643
389	410	642
390	411	640
391	411	639
392	412	637
393	413	635
394	413	633
395	414	632
396	415	630
397	415	628
398	416	626
399	416	625
400	417	623
401	417	621
402	418	619
403	419	618
404	419	616
405	420	614
406	420	613
407	421	611
408	422	610
409	422	608
410	423	607
411	424	606
412	425	604
413	426	603
414	426	601
415	427	599
416	427	598
417	428	596
418	429	594
419	429	593
420	430	591
421	430	590
422	431	588
423	432	587
424	432	585
425	433	583
426	433	582
427	434	580
428	435	579
429	435	577
430	436	576
431	437	574
432	437	573
433	438	571
434	439	570
435	440	569
436	440	567
437	441	566
438	442	564
439	442	563
440	443	561
441	443	560
442	444	558
443	445	557
444	445	555
445	446	554
446	446	552
447	447	551
448	448	549
449	448	548
450	449	547
451	449	545
452	450	544
453	451	542
454	451	541
455	452	539
456	452	538
457	453	537
458	454	535
459	455	534
460	455	533
461	456	531
462	457	530
463	457	528
464	458	527
465	458	525
466	459	524
467	460	522
468	460	521
469	461	520
470	461	518
471	462	517
472	463	515
473	463	514
474	464	513
475	464	511
476	465	510
477	466	509
478	466	507
479	467	506
480	468	505
481	469	504
482	470	503
483	470	501
484	471	500
485	472	499
486	472	498
487	473	497
488	474	496
489	475	494
490	475	493
491	476	492
492	477	490
493	477	489
494	478	488
495	479	486
496	479	485
497	480	484
498	480	482
499	481	481
500	482	480
501	483	479
502	483	478
503	484	476
504	485	475
505	485	474
506	486	473
507	487	471
508	487	470
509	488	469
510	489	467
511	489	466
512	490	465
513	490	464
514	491	462
515	492	461
516	492	460
517	493	459
518	494	457
519	494	456
520	495	455
521	496	454
522	497	454
523	498	453
524	501	453
525	502	452
526	503	452
527	504	451
528	505	450
529	506	449
530	507	448
531	508	446
532	508	445
533	509	444
534	510	443
535	511	442
536	512	441
537	513	440
538	513	439
539	514	438
540	515	437
541	515	436
542	516	434
543	517	433
544	518	432
545	518	431
546	519	430
547	520	429
548	521	428
549	521	426
550	522	425
551	524	425
552	527	426
553	528	425
554	529	424
555	530	423
556	530	422
557	531	421
558	532	419
559	532	418
560	533	417
561	534	416
562	535	415
563	536	414
564	536	413
565	537	412
566	538	410
567	538	409
568	540	409
569	541	408
570	542	407
571	543	406
572	544	405
573	545	405
574	546	403
575	547	402
576	547	401
577	548	400
578	548	399
579	549	397
580	550	396
581	550	395
582	551	394
583	551	393
584	552	391
585	552	390
586	553	389
587	555	388
588	556	388
589	557	387
590	557	386
591	558	385
592	559	383
593	559	382
594	560	381
595	561	380
596	561	379
597	562	378
598	563	377
599	563	375
600	564	374
601	565	373
602	565	372
603	566	371
604	566	370
605	567	368
606	568	367
607	568	366
608	570	366
609	571	365
610	571	364
611	572	363
612	573	361
613	573	360
614	574	359
615	574	358
616	575	357
617	576	356
618	576	355
619	577	353
620	578	352
621	578	351
622	579	350
623	579	349
624	580	348
625	581	347
626	581	346
627	582	344
628	582	343
629	584	343
630	585	342
631	585	341
632	586	340
633	587	338
634	587	337
635	588	336
636	588	335
637	589	334
638	590	333
639	590	332
640	591	331
641	591	330
642	592	328
643	593	327
644	593	326
645	594	325
646	594	324
647	595	323
648	596	322
649	596	321
650	597	320
651	598	319
652	599	318
653	600	317
654	600	316
655	601	315
656	602	314
657	602	313
658	603	312
659	604	311
660	605	310
661	606	309
662	606	308
663	607	307
664	607	306
665	608	305
666	609	304
667	609	303
668	610	301
669	610	300
670	611	299
671	612	298
672	613	297
673	614	297
674	614	295
675	615	294
676	616	293
677	616	292
678	617	291
679	618	290
680	619	289
681	619	288
682	620	287
683	620	286
684	621	285
685	622	284
686	622	283
687	623	282
688	623	281
689	624	280
690	625	279
691	625	278
692	626	277
693	627	276
694	628	275
695	628	274
696	629	273
697	630	272
698	630	271
699	631	270
700	632	269
701	632	268
702	633	267
703	634	266
704	635	265
705	636	264
706	636	263
707	637	262
708	637	261
709	638	260
710	639	259
711	639	258
712	640	257
713	641	256
714	642	255
715	642	255
716	643	254
717	644	253
718	644	252
719	646	251
720	646	250
721	647	249
722	648	248
723	648	247
724	649	246
725	650	245
726	650	244
727	651	243
728	652	242
729	652	241
730	653	240
731	653	239
732	654	238
733	655	237
734	655	236
735	656	235
736	657	234
737	658	233
738	659	232
739	659	231
740	660	230
741	661	229
742	661	228
743	662	228
744	663	227
745	664	226
746	664	225
747	665	224
748	665	223
749	666	222
750	667	221
751	667	220
752	668	219
753	669	218
754	669	217
755	670	216
756	671	215
757	672	214
758	672	213
759	673	212
760	674	211
761	674	210
762	675	209
763	675	208
764	676	207
765	677	206
766	677	205
767	678	204
768	678	203
769	679	202
770	680	202
771	680	201
772	681	200
773	681	199
774	682	198
775	683	197
776	683	196
777	684	195
778	684	194
779	686	193
780	686	192
781	687	191
782	688	190
783	688	189
784	689	188
785	690	187
786	690	186
787	691	185
788	691	185
789	692	184
790	693	183
791	693	182
792	694	181
793	694	180
794	695	179
795	696	178
796	696	177
797	697	176
798	698	175
799	698	174
800	699	173
801	700	172
802	701	172
803	701	171
804	702	170
805	703	169
806	703	168
807	704	167
808	705	166
809	705	165
810	706	164
811	706	163
812	707	162
813	707	161
814	708	160
815	709	159
